[INFO] [1778284362.484585120] [remote_control_node]: Parsed point: id='pile208', x=355170.854000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.484602176] [remote_control_node]: Parsed point: id='pile209', x=355174.346000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.484618848] [remote_control_node]: Parsed point: id='pile210', x=355174.346000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.484635488] [remote_control_node]: Parsed point: id='pile211', x=355177.839000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.484652448] [remote_control_node]: Parsed point: id='pile212', x=355177.839000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.484686080] [remote_control_node]: Parsed point: id='pile213', x=355181.331000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.484704896] [remote_control_node]: Parsed point: id='pile214', x=355181.331000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.484722720] [remote_control_node]: Parsed point: id='pile215', x=355184.824000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.484739904] [remote_control_node]: Parsed point: id='pile216', x=355184.824000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.484756672] [remote_control_node]: Parsed point: id='pile217', x=355188.319000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.484773280] [remote_control_node]: Parsed point: id='pile218', x=355188.319000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.484817824] [remote_control_node]: Parsed point: id='pile219', x=355191.813000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.484843680] [remote_control_node]: Parsed point: id='pile220', x=355191.813000000, y=4348635.192000000, z=0.000000000
[INFO] [1778284362.484868416] [remote_control_node]: Parsed point: id='pile221', x=355195.300000000, y=4348632.517000000, z=0.000000000
[INFO] [1778284362.484890144] [remote_control_node]: Parsed point: id='pile222', x=355195.300000000, y=4348635.192000000, z=0.000000000
